#-----------------------------------------------------------------------------
# Date d'extraction : 22/01/2025 - 13h48 loc.
#-----------------------------------------------------------------------------
# Producteur : CEN
# Experience : ADAMONT2017
# Modele     : ALADIN53_CNRM-CM5
# Scenario :
#     REF : rÃ©fÃ©rence
#     RCP8.5 : Emissions non rÃ©duites
#-----------------------------------------------------------------------------
# PÃ©riode extraite : de 2005 Ã  2100
#-----------------------------------------------------------------------------
# Type d'indice : horaire
#-----------------------------------------------------------------------------
# Indices : 
#     TAV : TempÃ©rature moyenne journaliÃ¨re (Â°C)
#     TNAV : TempÃ©rature minimale journaliÃ¨re (Â°C)
#     TXAV : TempÃ©rature maximale journaliÃ¨re (Â°C)
#     SD : Nombre de journÃ©es d'Ã©tÃ© (jour(s))
#     TXND : Nombre de jours anormalement chauds (jour(s))
#     TNHT : Nombre de nuits anormalement chaudes (jour(s))
#     TR : Nombre de nuits tropicales (jour(s))
#     TNFD : Nombre de jours de gel (jour(s))
#     TNND : Nombre de jours anormalement froids (jour(s))
#     TXFD : Nombre de jours sans dÃ©gel (jour(s))
#     TNCWD : Nombre de jours d'une vague de froid (jour(s))
#     TXHWD : Nombre de jours d'une vague de chaleur (jour(s))
#     TRAV : Amplitude thermique journaliÃ¨re (Â°C)
#     TXQ90 : ExtrÃªme chaud de la tempÃ©rature maximale journaliÃ¨re (Â°C)
#     TXQ10 : ExtrÃªme froid de la tempÃ©rature maximale journaliÃ¨re (Â°C)
#     TNQ10 : ExtrÃªme froid de la tempÃ©rature minimale journaliÃ¨re (Â°C)
#     TNQ90 : ExtrÃªme chaud de la tempÃ©rature minimale journaliÃ¨re (Â°C)
#     PAV : PrÃ©cipitations journaliÃ¨res moyennes (mm)
#     RR : Cumul de prÃ©cipitation (mm)
#     RR1MM : Nombre de jours de pluie (jour(s))
#     PN20MM : Nombre de jours de fortes prÃ©cipitations (jour(s))
#     PFL90 : Fraction des prÃ©cipitations journaliÃ¨res intenses (%)
#     PXCWD : Nombre maximum de jours pluvieux consÃ©cutifs (jour(s))
#     PXCDD : PÃ©riode de sÃ©cheresse (jour(s))
#     PINT : PrÃ©cipitation moyenne les jours pluvieux (mm)
#     RRSN : rapport entre le cumul de prÃ©cipitations neigeuses et totales
#     SNDAV : Ã©paisseur de neige moyenne (cm)
#     SND5 : nombre de jours de dÃ©passement dâ€™un seuil de 5 cm (jour(s))
#     SND50 : nombre de jours de dÃ©passement dâ€™un seuil de 50 cm (jour(s))
#     SND100 : nombre de jours de dÃ©passement dâ€™un seuil de 100 cm (jour(s))
#     SWE : maximum dâ€™Ã©quivalent en eau du manteau neigeux (mm)
#     SWEDAT : date du maximum dâ€™Ã©quivalent en eau du manteau neigeux (%)
#-----------------------------------------------------------------------------
# Format des enregistrements 
# Identifiant;Libelle;Altitude;Contexte;Annee;TAV;TNAV;TXAV;SD;TXND;TNHT;TR;TNFD;TNND;TXFD;TNCWD;TXHWD;TRAV;TXQ90;TXQ10;TNQ10;TNQ90;PAV;RR;RR1MM;PN20MM;PFL90;PXCWD;PXCDD;PINT;RRSN;SNDAV;SND5;SND50;SND100;SWE;SWEDAT;
#-----------------------------------------------------------------------------
1031500;ALPES : Mont-Blanc;1500 m;REF;2005;0.45;-2.88;3.77;0;19;16;0;132;6;34;0;0;6.64;9.15;-1.65;-7.55;2.25;3.05;551.46;59;6;55.05;7;27;9.11;0.56;32.81;124;69;0;231.86;20050320;
1031800;ALPES : Mont-Blanc;1800 m;REF;2005;-0.83;-3.84;2.18;0;19;18;0;144;7;47;0;0;6.02;7.35;-2.95;-8.75;1.35;3.45;625.1;62;8;53.25;9;27;9.83;0.75;55.2;158;107;27;341.08;20050404;
1032100;ALPES : Mont-Blanc;2100 m;REF;2005;-2.32;-5.08;0.43;0;14;21;0;162;9;78;0;0;5.51;5.05;-4.45;-10.15;0.05;4.06;735.16;64;12;60.32;6;17;11.35;0.84;86.12;180;124;101;453.83;20050404;
1032400;ALPES : Mont-Blanc;2400 m;REF;2005;-3.52;-6.16;-0.87;0;16;22;0;174;14;95;0;0;5.29;3.65;-5.55;-11.45;-1.15;4.24;768.19;61;12;62.89;9;27;12.42;0.91;106.15;180;142;118;566.62;20050424;
1032700;ALPES : Mont-Blanc;2700 m;REF;2005;-5.24;-7.83;-2.65;0;20;21;0;178;15;137;0;0;5.18;1.95;-6.95;-13.15;-2.75;4.25;768.82;64;12;58.81;9;27;11.82;1;149.02;181;176;129;742;20050424;
1033000;ALPES : Mont-Blanc;3000 m;REF;2005;-7.02;-9.66;-4.37;0;17;23;0;180;14;161;0;0;5.29;0.15;-8.65;-15.15;-4.45;4.37;791.49;62;12;54.32;9;27;12.57;1;172.05;181;177;140;817.26;20050424;
1033300;ALPES : Mont-Blanc;3300 m;REF;2005;-8.75;-11.31;-6.19;0;16;20;0;181;14;173;0;0;5.11;-1.75;-10.45;-16.85;-6.25;4.26;771.88;61;12;52.3;9;27;12.44;1;193.76;181;180;151;889.04;20050426;
1040600;ALPES : Bauges;600 m;REF;2005;3.5;-0.86;7.85;0;22;8;0;106;8;11;0;0;8.7;15.75;0.95;-5.75;4.65;3.65;660.49;61;11;72.54;6;33;10.66;0.13;3.39;46;0;0;40.73;20050320;
1040900;ALPES : Bauges;900 m;REF;2005;2.12;-2.04;6.27;0;24;7;0;122;12;22;0;0;8.32;13.65;-0.45;-7.15;3.35;4.28;775.19;65;12;71.51;6;33;11.76;0.19;12.41;95;0;0;107.77;20050320;
1041200;ALPES : Bauges;1200 m;REF;2005;0.84;-2.86;4.54;0;23;12;0;127;14;33;0;0;7.4;11.15;-1.75;-8.15;2.55;4.42;800.57;68;12;72.07;6;28;11.62;0.38;38.86;120;89;2;306.28;20050320;
1041500;ALPES : Bauges;1500 m;REF;2005;0.05;-3.24;3.33;0;23;10;0;131;16;40;0;0;6.57;9.45;-2.85;-8.95;2.45;4.5;814.93;65;12;66.77;11;28;12.32;0.48;55.68;140;109;26;388.08;20050400;
1041800;ALPES : Bauges;1800 m;REF;2005;-0.9;-3.88;2.08;0;21;10;0;141;14;51;0;0;5.96;8.15;-4.15;-10.05;1.75;4.53;819.46;66;13;65.01;11;28;12.24;0.63;79.38;157;124;80;519.16;20050408;
1042100;ALPES : Bauges;2100 m;REF;2005;-2.39;-5.32;0.54;0;18;15;0;158;15;81;0;0;5.86;6.25;-5.45;-11.25;0.45;4.81;870.44;67;14;69.43;11;28;12.83;0.77;113.58;180;130;123;668.48;20050420;
1050900;ALPES : Beaufortain;900 m;REF;2005;3;-1.79;7.8;0;24;14;0;126;11;10;0;0;9.6;15.45;1.45;-6.65;3.45;2.44;442.38;51;4;58.22;6;28;8.34;0.41;11.99;92;0;0;111.81;20050308;
1051200;ALPES : Beaufortain;1200 m;REF;2005;1.41;-2.56;5.37;0;24;14;0;135;13;23;0;0;7.93;12.15;-0.45;-7.45;2.65;2.77;501.04;56;6;56.78;6;28;8.7;0.51;23.2;117;23;0;190.71;20050320;
1051500;ALPES : Beaufortain;1500 m;REF;2005;0.24;-3.31;3.79;0;26;17;0;136;18;40;0;0;7.1;9.35;-1.65;-8.95;2.05;2.88;521.93;58;9;60.61;6;28;8.81;0.63;40.18;139;91;0;255.15;20050320;
1051800;ALPES : Beaufortain;1800 m;REF;2005;-0.93;-4.07;2.22;0;15;26;0;145;19;54;0;0;6.29;7.15;-2.95;-10.15;1.55;3.09;558.5;63;7;53.83;6;17;8.66;0.74;62.86;147;118;29;368.85;20050404;
1052100;ALPES : Beaufortain;2100 m;REF;2005;-2.38;-5.36;0.59;0;18;26;0;163;19;73;0;0;5.95;5.65;-4.45;-11.15;-0.05;3.32;600.99;59;8;56;11;28;10.03;0.82;78.82;173;124;71;399.98;20050404;
1052400;ALPES : Beaufortain;2400 m;REF;2005;-3.67;-6.55;-0.78;0;21;22;0;173;17;97;0;0;5.77;4.05;-5.95;-12.35;-1.05;3.56;644.37;61;11;59.92;11;28;10.41;0.87;106.57;181;134;123;549.92;20050422;
1052700;ALPES : Beaufortain;2700 m;REF;2005;-5.31;-8.15;-2.47;0;20;24;0;177;19;129;0;0;5.68;2.05;-7.15;-14.45;-2.55;3.45;624.39;61;10;55.28;6;28;10.03;1;126.98;181;147;129;625.35;20050424;
1053000;ALPES : Beaufortain;3000 m;REF;2005;-7.06;-9.95;-4.18;0;19;28;0;179;20;156;0;0;5.77;0.85;-8.95;-16.85;-4.25;3.67;664.91;60;12;58.89;6;28;10.93;0.99;142.91;181;149;130;682.47;20050430;
1060900;ALPES : Haute-Tarentaise;900 m;REF;2005;3.33;-1.52;8.19;0;24;9;0;117;11;8;0;0;9.71;15.25;1.75;-6.75;4.35;2.04;369.8;53;1;66.74;11;28;6.74;0.32;5.27;60;0;0;45.28;20050220;
1061200;ALPES : Haute-Tarentaise;1200 m;REF;2005;1.53;-2.64;5.7;0;23;10;0;131;13;20;0;0;8.34;12.35;-0.15;-7.85;3.15;2.19;397.25;56;3;65.5;11;29;6.94;0.35;9.81;90;0;0;94.25;20050328;
1061500;ALPES : Haute-Tarentaise;1500 m;REF;2005;0.01;-3.95;3.96;0;22;16;0;146;15;36;0;0;7.91;9.45;-1.85;-9.45;1.45;2.27;410.43;59;3;66.31;11;28;6.81;0.49;18.66;114;3;0;149.59;20050328;
1061800;ALPES : Haute-Tarentaise;1800 m;REF;2005;-1.37;-4.96;2.22;0;18;23;0;156;16;50;0;0;7.18;6.95;-3.25;-10.45;0.45;2.39;433.02;59;7;68.34;11;28;7.18;0.64;31.64;134;37;0;201.5;20050328;
1062100;ALPES : Haute-Tarentaise;2100 m;REF;2005;-2.78;-6.09;0.54;0;14;24;0;164;15;78;0;0;6.64;5.65;-4.65;-11.95;-0.35;2.65;479.85;58;9;69.67;11;28;8.06;0.8;58.39;150;120;18;320.05;20050400;
1062400;ALPES : Haute-Tarentaise;2400 m;REF;2005;-3.92;-6.96;-0.88;0;16;24;0;173;17;97;0;0;6.08;3.65;-5.65;-13.35;-1.45;2.71;491.37;58;7;74.84;11;28;8.3;0.94;81.14;180;130;73;404.33;20050422;
1062700;ALPES : Haute-Tarentaise;2700 m;REF;2005;-5.51;-8.44;-2.59;0;15;25;0;178;20;133;0;0;5.84;1.85;-7.15;-14.55;-2.55;3.11;563.36;57;11;77.15;11;28;9.67;0.99;100.95;180;140;125;520.81;20050424;
1063000;ALPES : Haute-Tarentaise;3000 m;REF;2005;-7.17;-10.16;-4.17;0;15;25;0;181;21;155;6;0;5.99;0.25;-8.55;-16.75;-4.05;3.14;568.34;58;11;73.74;11;28;9.59;1;122.7;181;149;130;581.23;20050424;
1063300;ALPES : Haute-Tarentaise;3300 m;REF;2005;-8.72;-11.53;-5.91;0;12;21;0;181;20;173;0;0;5.62;-1.65;-10.25;-18.25;-5.75;3.17;573.23;58;12;74.38;11;28;9.74;1;124.48;181;149;130;587.53;20050424;
1090600;ALPES : Maurienne;600 m;REF;2005;4.5;0.16;8.83;0;21;4;0;91;8;4;0;0;8.66;15.75;2.85;-4.25;5.45;2.86;518.37;58;9;73.25;11;28;8.75;0.1;0.76;2;0;0;9.18;20041230;
1090900;ALPES : Maurienne;900 m;REF;2005;2.94;-1.34;7.22;0;23;6;0;113;10;8;0;0;8.55;13.95;1.35;-5.65;3.65;3.63;656.7;60;11;72.91;11;28;10.77;0.25;10.92;98;0;0;92.34;20050322;
1091200;ALPES : Maurienne;1200 m;REF;2005;1.7;-2.09;5.48;0;22;5;0;128;10;18;0;0;7.58;11.65;-0.15;-6.55;3.05;3.78;683.67;59;10;70.89;11;28;11.36;0.4;26.44;128;22;0;211.51;20050324;
1091500;ALPES : Maurienne;1500 m;REF;2005;0.56;-2.93;4.05;0;23;12;0;132;10;29;0;0;6.98;9.75;-1.15;-8.05;1.95;3.8;688.64;60;12;72.55;11;28;11.34;0.56;44.93;144;104;0;296.13;20050322;
1091800;ALPES : Maurienne;1800 m;REF;2005;-0.61;-3.9;2.68;0;17;17;0;146;16;44;0;0;6.58;7.25;-2.25;-9.55;1.15;3.8;687.32;64;10;68.32;11;28;10.58;0.69;72.25;149;121;35;433.1;20050404;
1092100;ALPES : Maurienne;2100 m;REF;2005;-2.16;-5.3;0.97;0;17;17;0;166;17;74;0;0;6.27;5.65;-3.65;-11.15;-0.25;3.86;698.41;61;12;71.72;11;28;11.3;0.89;88.88;170;135;103;506.76;20050422;
1092400;ALPES : Maurienne;2400 m;REF;2005;-3.51;-6.63;-0.4;0;15;16;0;174;17;98;0;0;6.23;4.25;-4.65;-12.65;-1.65;4.09;740.85;61;12;71.8;11;28;11.99;0.96;112.52;180;147;125;681.6;20050424;
1092700;ALPES : Maurienne;2700 m;REF;2005;-5.14;-8.11;-2.17;0;14;19;0;180;19;129;0;0;5.95;2.65;-6.65;-14.15;-3.25;4.29;776.08;61;12;71.48;11;28;12.53;0.98;128.85;181;149;130;749.17;20050424;
1093000;ALPES : Maurienne;3000 m;REF;2005;-6.85;-9.88;-3.82;0;15;17;0;181;23;152;0;0;6.06;0.95;-8.55;-16.65;-4.95;4.54;822.04;62;12;72.37;11;28;13.06;0.98;144.2;181;149;130;810.71;20050430;
1100900;ALPES : Vanoise;900 m;REF;2005;3.08;-1.54;7.69;0;21;9;0;121;10;9;0;7;9.23;14.55;1.55;-6.15;3.55;2.45;444.26;56;6;76.46;6;27;7.8;0.37;14.21;97;0;0;96.87;20050320;
1101200;ALPES : Vanoise;1200 m;REF;2005;1.46;-2.7;5.62;0;19;11;0;131;15;21;0;0;8.32;11.95;-0.35;-7.55;2.45;2.82;509.57;53;9;76.16;11;27;9.45;0.51;27.05;114;26;0;212.28;20050320;
1101500;ALPES : Vanoise;1500 m;REF;2005;-0.05;-3.96;3.87;0;21;14;0;138;16;38;0;0;7.83;9.95;-1.45;-9.55;1.45;2.97;537.73;54;11;73.88;11;27;9.78;0.69;50.85;145;106;5;289.27;20050400;
1101800;ALPES : Vanoise;1800 m;REF;2005;-1.25;-4.74;2.24;0;16;16;0;153;20;49;0;0;6.97;7.45;-2.75;-9.95;0.85;3.12;565.29;55;11;73.73;11;27;10.08;0.78;68.41;149;120;31;374.14;20050404;
1102100;ALPES : Vanoise;2100 m;REF;2005;-2.64;-5.87;0.59;0;12;23;0;167;21;80;6;0;6.47;5.55;-4.25;-11.75;-0.45;3.36;607.38;56;11;76.97;11;27;10.66;0.93;93.86;175;147;113;512.09;20050420;
1102400;ALPES : Vanoise;2400 m;REF;2005;-3.94;-7.07;-0.81;0;15;21;0;178;19;101;6;0;6.26;3.95;-5.45;-13.15;-1.85;3.66;662.91;56;11;77.39;6;27;11.63;0.94;107.03;177;147;119;593.1;20050422;
1102700;ALPES : Vanoise;2700 m;REF;2005;-5.54;-8.54;-2.54;0;15;23;0;180;20;135;6;0;6;1.95;-6.95;-14.95;-3.15;3.78;683.37;54;12;77.62;6;27;12.5;0.97;125.43;181;149;130;670.33;20050422;
1103000;ALPES : Vanoise;3000 m;REF;2005;-7.2;-10.27;-4.14;0;14;24;0;181;22;158;6;0;6.13;0.45;-8.85;-17.75;-4.75;3.85;696.43;55;12;75.82;6;27;12.44;1;144.06;181;149;132;721.92;20050430;
1103300;ALPES : Vanoise;3300 m;REF;2005;-8.79;-11.72;-5.87;0;12;23;0;181;21;170;6;0;5.85;-1.15;-10.45;-18.65;-6.45;3.86;697.93;54;13;77.73;6;27;12.72;1;145.46;181;149;132;722.25;20050430;
1111200;ALPES : Haute-Maurienne;1200 m;REF;2005;1.89;-2.37;6.15;0;18;6;0;123;14;21;0;8;8.52;13.15;-0.25;-8.05;2.85;1.47;265.57;45;0;70.05;4;28;5.63;0.46;10.84;87;0;0;98.65;20050318;
1111500;ALPES : Haute-Maurienne;1500 m;REF;2005;0.24;-4.1;4.58;0;21;10;0;143;14;31;0;8;8.69;10.95;-1.45;-10.35;1.45;1.44;261.12;42;0;71.79;4;28;5.82;0.63;16.39;114;0;0;122.12;20050320;
1111800;ALPES : Haute-Maurienne;1800 m;REF;2005;-1.17;-4.92;2.58;0;19;11;0;156;14;51;0;8;7.49;8.25;-3.05;-11.35;0.45;1.59;288.28;47;1;71.54;4;28;5.86;0.73;26.53;135;37;0;177.96;20050320;
1112100;ALPES : Haute-Maurienne;2100 m;REF;2005;-2.55;-5.66;0.57;0;15;16;0;170;11;79;0;0;6.23;5.25;-4.55;-11.55;-0.65;1.83;331.46;47;3;74.88;4;28;6.7;0.94;41.94;160;89;0;233.09;20050320;
1112400;ALPES : Haute-Maurienne;2400 m;REF;2005;-3.89;-6.83;-0.94;0;15;13;0;176;19;103;0;0;5.89;3.35;-5.65;-13.65;-1.55;1.88;340.65;48;3;72.07;4;28;6.8;0.98;65.99;179;122;35;287.4;20050408;
1112700;ALPES : Haute-Maurienne;2700 m;REF;2005;-5.41;-8.23;-2.58;0;13;15;0;181;18;135;0;0;5.65;2.05;-7.25;-14.95;-3.15;2.05;370.41;47;4;74.45;4;28;7.52;1;85.98;181;140;80;332.04;20050406;
1113000;ALPES : Haute-Maurienne;3000 m;REF;2005;-6.96;-9.76;-4.16;0;14;16;0;181;19;156;6;0;5.61;0.75;-9.05;-16.35;-4.75;2.17;393.65;47;7;75.44;4;28;7.92;1;105.48;181;169;123;416.43;20050428;
1113300;ALPES : Haute-Maurienne;3300 m;REF;2005;-8.5;-11.19;-5.81;0;12;13;0;181;22;175;7;0;5.38;-0.95;-10.75;-18.25;-5.95;2.17;392.1;46;7;75.22;4;28;8.14;1;114.5;181;177;127;429.33;20050428;
1010600;ALPES : Chablais;600 m;RCP8.5;2006;3.07;-0.41;6.54;0;17;9;0;92;14;20;0;6;6.95;12.95;-0.15;-6.85;4.55;4.17;754.25;74;8;68.69;16;26;10;0.37;8.12;84;0;0;93.77;20060104;
1010600;ALPES : Chablais;600 m;RCP8.5;2007;3.18;-0.51;6.86;0;15;20;0;93;18;27;6;7;7.38;14.65;-0.95;-7.65;5.05;5.28;955.79;77;15;62.09;9;21;12.29;0.11;1.33;20;0;0;47.03;20061128;
1010600;ALPES : Chablais;600 m;RCP8.5;2008;3.35;-0.04;6.75;0;22;18;0;77;16;19;0;6;6.79;12.05;-0.25;-6.85;5.25;3.16;575.97;71;3;44.53;10;12;7.96;0.15;2.36;41;0;0;29.05;20080124;
1010600;ALPES : Chablais;600 m;RCP8.5;2009;3.9;0.24;7.56;0;32;25;0;84;13;15;0;13;7.32;15.15;0.35;-5.55;6.15;4.09;740.34;74;8;59.84;7;13;9.8;0.11;2.53;34;0;0;48.27;20090212;
1010600;ALPES : Chablais;600 m;RCP8.5;2010;4.32;1.04;7.61;0;26;35;0;68;6;12;0;6;6.57;14.75;1.05;-5.35;6.65;5.5;994.7;77;12;59.35;9;24;12.78;0.06;0.34;4;0;0;33.82;20100224;
1010600;ALPES : Chablais;600 m;RCP8.5;2011;3.28;-0.53;7.09;0;29;12;0;95;15;32;9;7;7.62;15.75;-1.45;-7.05;5.05;2.51;453.47;69;1;44.95;10;18;6.29;0.37;13.55;63;12;0;133.75;20110212;
1010600;ALPES : Chablais;600 m;RCP8.5;2012;4.82;1.15;8.49;0;46;38;0;68;8;3;0;7;7.34;14.55;1.45;-4.05;6.35;4.47;813.32;86;8;44.95;13;13;9.36;0.08;1.04;15;0;0;33.69;20120128;
1010600;ALPES : Chablais;600 m;RCP8.5;2013;5.09;1.57;8.62;0;34;32;0;64;5;4;0;6;7.05;16.05;3.15;-3.15;6.55;5.71;1032.94;79;16;71.82;6;19;12.95;0.04;0.13;1;0;0;10.28;20121112;
1010600;ALPES : Chablais;600 m;RCP8.5;2014;4.24;0.95;7.52;0;26;24;0;72;8;15;0;6;6.57;14.55;0.05;-4.25;5.65;4.89;885.8;74;15;55.55;7;16;11.75;0.18;1.18;18;0;0;17.68;20140312;
1010600;ALPES : Chablais;600 m;RCP8.5;2015;4.34;0.88;7.81;0;28;28;0;73;15;8;0;0;6.93;15.65;1.25;-6.15;7.15;6.31;1142.51;93;21;58.39;8;7;12.2;0.1;0.39;4;0;0;14.79;20141116;
1010600;ALPES : Chablais;600 m;RCP8.5;2016;5.27;1.66;8.87;0;49;30;0;57;0;3;0;14;7.21;16.05;3.25;-2.45;6.15;3.29;598.13;71;6;54.94;7;19;8.27;0.07;0.18;2;0;0;10.94;20160312;
1010600;ALPES : Chablais;600 m;RCP8.5;2017;3.42;-0.06;6.9;0;21;23;0;98;25;21;13;7;6.96;12.85;-0.15;-6.95;7.15;5.75;1040.65;80;12;74.33;12;29;12.81;0.12;1.59;28;0;0;16.94;20170218;
